Track Name,Track ID,Artists,Artist Count
please please please,5N3hjp1WNayUPZrA8kJmJP,sabrina carpenter,1
femininomenon,53IRnAWx13PYmoVYtemUBS,chappell roan,1
superstar,5u5MpBnvJejW9dHPrfWEXZ,jamelia,1
california gurls,6tS3XVuOyu10897O3ae7bi,katy perry,2
california gurls,6tS3XVuOyu10897O3ae7bi,snoop dogg,2
feather,2Zo1PcszsT9WQ0ANntJbID,sabrina carpenter,1
ugly heart,1Vv0MPcooEoQzVZYfKMgKW,g.r.l.,1
taste,5G2f63n7IPVPPjfNIGih7Q,sabrina carpenter,1
really dont care,3xSp2wM7K4wrjZivuCRwox,demi lovato,2
really dont care,3xSp2wM7K4wrjZivuCRwox,cher lloyd,2
you belong with me taylors version,1qrpoAMXodY6895hGKoUpA,taylor swift,1
style taylors version,1hjRhYpWyqDpPahmSlUTlc,taylor swift,1
cool girl,3tJ4y2Zqx6gM9xOAuFfsSF,tove lo,1
shower,3DmW6y7wTEYHJZlLo1r6XJ,becky g,1
thank u next,3e9HZxeyfWwjeyPAMmWSSQ,ariana grande,1
pink friday girls,44L2bY93uD65CEHWbozpx4,nicki minaj,1
last friday night tgif,455AfCsOhhLPRc68sE01D8,katy perry,1
super bass,3hlksXnvbKogFdPbpO9vel,nicki minaj,1
smile,4bia7OWZPoswlzXCqESYrR,avril lavigne,1
allamerican bitch,34sOdxWu9FljH84UXdRwu1,olivia rodrigo,1
